Geneid	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample56	sample57	sample51	sample52	sample53	sample54	sample55
PTmerged616	1919	977	2479	1226	979	996	1319	698	1946	1662	1875	1476	1300	2255	2743	2272	1779	1707
PTmerged617	939	541	1417	647	3065	2808	3202	1634	105	104	95	80	73	89	99	60	78	73
PTmerged618	1033	446	1316	684	3565	3382	3623	2087	78	61	87	61	56	64	76	67	78	81
PTmerged619	561	363	919	399	2390	1824	2232	1492	266	262	244	240	236	277	334	256	395	326
PTmerged620	1773	1202	3176	1318	5779	4877	5797	3425	190	165	183	189	167	182	235	177	300	237
PTmerged621	3	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	398	368
PTmerged623	162	113	215	133	300	270	415	206	154	141	141	163	170	120	133	116	185	188
PTmerged624	15	15	40	37	51	51	60	21	131	126	161	161	173	135	174	190	162	130
PTmerged625	89	109	165	99	98	85	95	82	280	263	283	342	337	212	269	244	373	286
PTmerged626	48	57	66	58	54	50	48	19	63	63	55	403	345	368	418	324	38	24
PTmerged627	0	0	1	0	0	0	0	0	1	4	1	8	4	1	2	4	6	3
PTmerged628	294	145	408	205	826	706	820	534	16	14	29	20	11	17	15	7	14	12
PTmerged629	884	521	1221	600	2409	1977	2119	1429	90	91	102	135	101	75	86	101	93	86
PTmerged630	164	202	226	290	121	112	221	91	2019	1946	1659	2687	2331	2021	2449	2057	632	645
PTmerged631	10	20	18	30	2	12	20	11	158	195	149	261	227	233	273	232	37	36
PTmerged632	94	104	125	150	93	74	138	51	1087	1043	909	1529	1296	1041	1240	1025	415	440
PTmerged633	435	396	816	401	1086	919	1057	591	129	159	142	252	147	214	285	233	150	151
PTmerged634	40	29	35	32	27	30	29	23	255	202	253	781	680	476	558	591	690	549
PTmerged635	1542	977	2332	1178	1387	1137	1346	841	198	223	232	193	183	181	251	179	249	234
PTmerged636	757	462	1376	616	1556	1357	1652	910	77	79	79	86	64	112	129	102	79	57
PTmerged638	128	55	171	80	104	105	130	66	312	266	291	215	168	294	395	397	412	369
PTmerged639	4041	2326	6733	2836	7240	6542	7570	4279	307	297	303	252	222	188	251	164	216	229
PTmerged640	137	113	228	130	131	155	252	123	33	26	23	26	15	24	31	22	18	17
PTmerged641	995	547	1239	1233	904	910	1176	722	26533	23042	26183	16964	14285	16821	21100	18234	26517	22158
PTmerged642	258	147	380	170	1326	1019	1238	769	120	95	94	121	103	93	151	108	140	111
PTmerged643	55979	51282	80771	90265	81631	93130	132600	51657	1073133	1038191	1045718	1060483	947403	894411	1137834	993581	1162941	1047626
PTmerged644	568	557	858	799	254	309	462	152	53354	51864	52369	3802	3090	4649	5972	5129	6620	5862
PTmerged645	476	294	709	401	2034	1427	1732	1269	68	48	66	49	31	42	63	29	81	81
PTmerged646	31	35	27	33	6	5	8	7	147	143	118	245	227	227	331	339	161	126
PTmerged647	75	47	116	76	73	55	78	51	796	764	878	877	717	2576	3271	2773	340	289
PTmerged648	10229	8095	13776	17708	24142	27523	38478	16433	139476	132313	135045	201212	189048	140835	174930	156113	163873	151077
PTmerged649	1922	1613	3368	1758	3172	2831	3448	1873	1657	1685	1601	1932	1637	2491	3164	2711	1741	1633
PTmerged650	1578	1036	2526	1033	2728	2440	2939	1674	146	98	145	121	103	123	180	124	126	113
PTmerged651	1555	1031	2510	1029	2725	2431	2928	1674	146	98	144	121	103	123	180	121	125	112
PTmerged652	616	490	1096	499	901	800	973	523	549	513	534	877	765	739	884	836	803	728
PTmerged653	410	365	641	433	463	441	599	244	955	983	912	931	737	1189	1489	1229	1069	976
PTmerged654	197	124	328	136	775	664	746	507	72	80	69	51	51	98	130	92	82	84
PTmerged655	171	104	293	124	765	653	735	495	71	76	63	46	50	94	128	91	80	84
PTmerged656	16	21	28	23	48	48	55	38	263	206	250	268	251	229	286	243	303	233
PTmerged657	137	82	206	103	355	288	362	192	206	152	195	180	142	216	265	248	220	199
PTmerged658	653	405	1126	570	1265	1033	1320	675	720	603	658	502	409	684	866	770	986	873
PTmerged659	97	93	181	107	101	111	149	81	477	457	516	533	458	571	691	629	644	596
PTmerged660	514	429	861	672	479	502	734	245	5977	5124	5860	6985	6074	6266	7754	6709	7870	6646
PTmerged661	926	580	1251	612	2604	2091	2318	1644	38	50	35	55	36	20	39	26	31	26
PTmerged662	3442	2406	4758	4536	3012	3051	3722	1904	32499	28668	32213	37068	34042	29977	36645	32212	39873	34996
PTmerged663	3399	2378	4701	4514	2960	3010	3679	1888	32476	28644	32185	37043	34010	29936	36609	32173	39835	34977
PTmerged664	410	349	622	323	213	161	162	91	55	44	47	35	30	26	34	27	28	33
PTmerged665	409	295	694	372	1698	1434	1697	1138	80	91	62	96	79	118	138	106	98	106
PTmerged666	459	342	736	389	1982	1662	1722	1076	50	53	40	30	37	9	10	7	21	25
PTmerged667	333	217	526	271	4	1	4	1	69	75	91	0	0	2	2	1	0	0
PTmerged668	445	296	677	323	328	269	398	271	1140	1052	1055	1509	1339	1502	1858	1625	1371	1195
PTmerged669	88	59	131	118	85	90	130	44	1276	1076	1314	1409	1130	949	1142	1092	1141	1015
PTmerged670	1119	840	1677	1578	1471	1368	1668	1074	15529	13662	15303	10958	9825	11378	14218	12534	16656	13718
PTmerged671	407	271	599	344	446	503	552	263	567	565	525	472	461	535	708	633	643	535
PTmerged672	405	271	587	341	437	494	548	260	563	560	520	469	455	532	700	628	641	530
PTmerged673	496	324	717	408	1755	1292	1436	1055	120	103	113	134	99	161	214	153	66	63
PTmerged674	401	290	646	343	866	702	771	476	589	607	521	609	479	755	843	768	481	431
PTmerged675	1901	1251	2960	1453	5868	4801	5445	3569	282	277	274	286	250	231	290	226	274	262
PTmerged677	342	360	606	331	386	378	528	249	800	883	804	854	724	857	1132	966	663	596
PTmerged678	4999	5058	8040	8226	7360	8352	11655	4432	77743	70748	74397	78080	70623	61905	78007	67911	88447	79394
PTmerged679	201	94	308	174	497	373	450	307	149	119	128	162	132	104	153	118	105	81
PTmerged680	399	306	601	307	1159	1073	1369	815	69	73	92	71	69	72	76	72	24	21
PTmerged681	381	305	578	299	1127	1042	1321	788	68	71	92	69	69	72	74	71	23	20
PTmerged682	37989	34186	57116	61254	57891	67650	98318	34105	710541	697952	680388	703742	627648	718454	899188	793260	773269	707634
PTmerged683	518	362	755	409	1057	947	1166	606	109	104	116	111	84	122	128	115	108	96
PTmerged684	265	196	405	198	557	528	628	328	235	239	247	253	218	269	331	280	245	223
PTmerged685	374	194	581	281	422	445	479	298	415	361	441	579	497	499	754	635	556	451
PTmerged686	148	81	214	115	113	97	117	86	219	191	202	188	200	166	222	186	206	198
PTmerged687	711	464	1111	574	1782	1637	1962	1035	538	595	552	814	674	864	1090	975	775	811
PTmerged688	464	267	649	330	404	319	454	191	1099	892	1162	1114	1051	1394	1650	1452	1345	1132
PTmerged689	918	508	1389	597	1303	1104	1179	699	113	105	109	110	119	87	110	84	90	99
PTmerged690	2344	1378	3455	1588	2084	1954	2146	1280	141	125	137	127	119	128	165	127	135	125
PTmerged691	42	38	51	71	68	49	83	54	587	465	544	84	67	136	169	147	781	702
PTmerged692	695	435	1137	505	1142	897	1116	579	316	274	302	283	237	345	431	342	314	239
PTmerged693	0	0	0	0	2285	1744	1985	1224	0	0	0	0	0	0	0	0	0	0
PTmerged694	443	309	736	357	969	769	1076	527	786	710	824	772	637	835	976	860	1253	1105
PTmerged695	519	444	977	435	776	750	884	558	577	522	596	723	687	391	443	429	567	506
PTmerged696	448	368	842	375	721	720	834	527	566	512	586	710	676	386	435	420	560	499
PTmerged697	8552	6183	12329	13643	11754	13697	20773	6738	161130	155206	155481	201973	180188	146431	181363	160833	185551	168639
PTmerged698	1691	937	2585	1172	2680	2479	2984	1610	744	633	780	905	792	837	1037	898	821	764
PTmerged699	1676	926	2568	1160	2675	2477	2979	1604	741	627	777	903	786	833	1030	889	819	760
PTmerged700	1770	1100	2600	1087	2714	2216	2531	1696	139	109	130	96	82	94	91	60	85	96
